Name,James_Loney Rating,Student1 Rating,Student2 Rating,model01 Rating,model02 Rating,shuoshuo,AV2,Ground truth,model03 Rating
1,1,2,1,6,3,1,3,1,10
2,3,3,3,2,2,1,2,1,10
3,4,3,4,2,2,3,2,2,10
4,4,4,5,4,3,3,3,2,9
5,6,5,6,4,4,4,4,3,8
6,4,2,5,4,4,3,4,3,10
7,7,6,9,6,6,7,8,4,10
8,7,6,5,8,6,6,5,4,10
9,9,9,10,10,9,8,9,5,10
10,7,5,7,6,6,5,5,5,10
11,8,7,8,8,6,6,8,6,10
12,6,7,8,8,8,5,7,6,10
13,9,6,7,6,4,8,8,7,8
14,7,6,5,6,6,7,7,7,10
15,10,9,8,9,6,10,9,8,9
16,9,7,7,9,8,8,5,8,10
17,10,9,9,10,9,10,10,9,8
18,9,8,7,9,8,8,9,9,10
19,10,10,9,10,9,10,10,10,10
20,10,10,8,10,9,9,10,10,10
21,1,1,1,4,2,1,1,1,10
22,4,2,4,6,2,1,2,2,10
23,3,2,5,4,2,2,3,3,8
24,8,4,6,6,6,7,5,4,8
25,6,9,8,9,8,7,9,5,10
26,7,9,7,8,6,8,6,6,10
27,7,9,7,10,9,8,8,7,10
28,7,9,7,10,8,8,8,8,10
29,9,10,9,10,9,10,10,9,10
30,5,4,6,6,4,5,8,3,9
31,4,4,4,6,4,4,4,4,10
32,4,4,5,6,4,3,6,5,10
33,5,4,5,10,6,4,6,6,10
34,9,8,7,9,8,7,8,7,10
35,9,8,6,10,10,9,9,9,10
36,10,8,6,10,10,9,9,10,10
37,2,1,2,2,2,1,3,1,10
38,5,3,2,6,4,4,4,3,10
39,4,3,5,6,4,4,4,4,10
40,7,2,3,6,2,5,4,6,10
41,6,2,3,8,4,6,7,7,10
42,7,2,2,6,4,4,5,7,10
43,7,4,5,8,6,6,7,,
44,8,6,5,8,6,6,7,,
45,9,10,8,10,9,9,10,,
46,7,5,4,8,6,6,5,,
47,5,3,3,6,6,5,4,,
48,10,10,8,10,8,8,8,,
49,10,10,8,10,9,9,9,,
50,8,6,5,9,8,6,7,,
51,8,8,5,9,6,6,7,,
52,9,9,5,8,7,8,7,,
53,6,3,3,6,6,5,5,,
54,10,10,7,10,9,9,9,,
55,9,10,6,10,9,8,9,,
56,9,9,7,10,8,8,10,,
57,10,10,7,10,9,9,10,,
58,6,8,5,6,6,5,5,,
59,9,10,6,10,9,8,9,,
60,8,6,5,8,8,5,3,,
61,9,6,7,10,8,6,6,,
62,9,10,7,10,9,8,9,,
63,10,10,9,10,9,9,10,,
64,9,10,9,10,8,10,10,,
65,7,7,7,9,6,6,5,,
66,10,10,10,10,8,9,10,,
67,10,10,10,10,8,10,10,,
68,10,9,8,9,9,9,7,,
69,6,5,4,6,6,5,5,,
70,9,6,8,10,8,7,5,,
71,5,2,3,6,4,4,3,,
72,5,2,2,6,5,4,3,,
73,5,3,4,6,6,5,7,,
74,10,10,7,10,8,9,9,,
75,8,5,4,8,6,7,6,,
76,5,5,4,9,6,6,7,,
77,5,5,5,6,6,5,5,,
78,7,5,5,8,6,5,5,,
79,7,6,5,10,7,6,9,,
80,7,3,4,6,6,6,7,,
81,7,4,4,6,6,6,7,,
82,8,4,3,8,6,7,7,,
83,8,5,3,8,6,6,4,,
84,9,6,5,9,8,8,7,,
85,8,5,4,6,6,7,6,,
86,8,6,5,10,6,6,8,,
87,7,4,4,6,5,5,5,,
88,9,8,5,10,8,6,9,,
89,9,8,5,9,8,7,7,,
90,8,7,4,8,6,6,5,,
91,8,7,4,8,6,6,6,,
92,7,4,4,9,6,5,4,,
93,9,9,5,9,8,8,8,,
94,8,6,5,9,8,5,5,,
95,9,9,5,10,8,7,7,,
96,5,8,4,8,8,6,6,,
97,7,7,4,6,6,5,5,,
98,8,8,5,9,8,7,5,,
99,8,8,5,8,6,7,5,,
100,8,9,7,9,8,7,7,,
101,10,10,8,9,8,8,9,,
102,6,8,8,9,8,9,5,,
103,8,7,7,9,8,8,7,,
104,6,8,4,6,6,6,5,,
105,9,9,5,9,8,8,9,,
106,3,4,3,9,6,5,3,,
107,6,5,3,8,7,5,4,,
108,6,5,3,6,6,4,4,,
109,8,7,5,9,8,8,8,,
110,6,5,4,6,6,6,6,,
111,9,8,6,9,6,7,8,,
112,8,5,5,8,8,5,6,,
113,8,5,5,6,6,6,8,,
114,9,6,6,9,8,6,8,,
115,10,10,8,9,8,8,9,,
116,9,10,8,10,8,9,9,,
117,10,10,8,10,9,10,9,,
118,9,9,5,9,8,6,8,,
119,10,10,8,10,9,8,10,,
120,7,8,5,8,7,6,6,,
121,9,10,7,10,9,6,9,,
122,8,8,7,9,8,7,6,,
123,7,9,4,8,6,6,6,,
124,8,7,4,9,6,6,5,,
