Name,James_Loney Rating,Student1 Rating,Student2 Rating,model02,shuoshuo,AV2
43,7,4,5,6,6,7
44,8,6,5,6,6,7
45,9,10,8,9,9,10
46,7,5,4,6,6,5
47,5,3,3,6,5,4
48,10,10,8,8,8,8
49,10,10,8,9,9,9
50,8,6,5,8,6,7
51,8,8,5,6,6,7
52,9,9,5,7,8,7
53,6,3,3,6,5,5
54,10,10,7,9,9,9
55,9,10,6,9,8,9
56,9,9,7,8,8,10
57,10,10,7,9,9,10
58,6,8,5,6,5,5
59,9,10,6,9,8,9
60,8,6,5,8,5,3
61,9,6,7,8,6,6
62,9,10,7,9,8,9
63,10,10,9,9,9,10
64,9,10,9,8,10,10
65,7,7,7,6,6,5
66,10,10,10,8,9,10
67,10,10,10,8,10,10
68,10,9,8,9,9,7
69,6,5,4,6,5,5
70,9,6,8,8,7,5
71,5,2,3,4,4,3
72,5,2,2,5,4,3
73,5,3,4,6,5,7
74,10,10,7,8,9,9
75,8,5,4,6,7,6
76,5,5,4,6,6,7
77,5,5,5,6,5,5
78,7,5,5,6,5,5
79,7,6,5,7,6,9
80,7,3,4,6,6,7
81,7,4,4,6,6,7
82,8,4,3,6,7,7
83,8,5,3,6,6,4
84,9,6,5,8,8,7
85,8,5,4,6,7,6
86,8,6,5,6,6,8
87,7,4,4,5,5,5
88,9,8,5,8,6,9
89,9,8,5,8,7,7
90,8,7,4,6,6,5
91,8,7,4,6,6,6
92,7,4,4,6,5,4
93,9,9,5,8,8,8
94,8,6,5,8,5,5
95,9,9,5,8,7,7
96,5,8,4,8,6,6
97,7,7,4,6,5,5
98,8,8,5,8,7,5
99,8,8,5,6,7,5
100,8,9,7,8,7,7
101,10,10,8,8,8,9
102,6,8,8,8,9,5
103,8,7,7,8,8,7
104,6,8,4,6,6,5
105,9,9,5,8,8,9
106,3,4,3,6,5,3
107,6,5,3,7,5,4
108,6,5,3,6,4,4
109,8,7,5,8,8,8
110,6,5,4,6,6,6
111,9,8,6,6,7,8
112,8,5,5,8,5,6
113,8,5,5,6,6,8
114,9,6,6,8,6,8
115,10,10,8,8,8,9
116,9,10,8,8,9,9
117,10,10,8,9,10,9
118,9,9,5,8,6,8
119,10,10,8,9,8,10
120,7,8,5,7,6,6
121,9,10,7,9,6,9
122,8,8,7,8,7,6
123,7,9,4,6,6,6
124,8,7,4,6,6,5
